date,day_of_week,day_of_month,month,is_weekend,department,daily_appointment_demand
2025-01-01,2,1,1,0,Cardiology,30
2025-01-01,2,1,1,0,Pediatrics,34
2025-01-01,2,1,1,0,Dermatology,20
2025-01-01,2,1,1,0,General Medicine,45
2025-01-01,2,1,1,0,Orthopedics,21
2025-01-01,2,1,1,0,Neurology,14
2025-01-01,2,1,1,0,ENT,19
2025-01-01,2,1,1,0,Gynecology,18
2025-01-02,3,2,1,0,Cardiology,27
2025-01-02,3,2,1,0,Pediatrics,34
2025-01-02,3,2,1,0,Dermatology,17
2025-01-02,3,2,1,0,General Medicine,39
2025-01-02,3,2,1,0,Orthopedics,20
2025-01-02,3,2,1,0,Neurology,10
2025-01-02,3,2,1,0,ENT,12
2025-01-02,3,2,1,0,Gynecology,15
2025-01-03,4,3,1,0,Cardiology,24
2025-01-03,4,3,1,0,Pediatrics,32
2025-01-03,4,3,1,0,Dermatology,15
2025-01-03,4,3,1,0,General Medicine,35
2025-01-03,4,3,1,0,Orthopedics,22
2025-01-03,4,3,1,0,Neurology,13
2025-01-03,4,3,1,0,ENT,14
2025-01-03,4,3,1,0,Gynecology,12
2025-01-04,5,4,1,1,Cardiology,14
2025-01-04,5,4,1,1,Pediatrics,18
2025-01-04,5,4,1,1,Dermatology,8
2025-01-04,5,4,1,1,General Medicine,23
2025-01-04,5,4,1,1,Orthopedics,10
2025-01-04,5,4,1,1,Neurology,7
2025-01-04,5,4,1,1,ENT,7
2025-01-04,5,4,1,1,Gynecology,13
2025-01-05,6,5,1,1,Cardiology,11
2025-01-05,6,5,1,1,Pediatrics,11
2025-01-05,6,5,1,1,Dermatology,9
2025-01-05,6,5,1,1,General Medicine,14
2025-01-05,6,5,1,1,Orthopedics,8
2025-01-05,6,5,1,1,Neurology,2
2025-01-05,6,5,1,1,ENT,3
2025-01-05,6,5,1,1,Gynecology,7
2025-01-06,0,6,1,0,Cardiology,36
2025-01-06,0,6,1,0,Pediatrics,41
2025-01-06,0,6,1,0,Dermatology,22
2025-01-06,0,6,1,0,General Medicine,49
2025-01-06,0,6,1,0,Orthopedics,22
2025-01-06,0,6,1,0,Neurology,16
2025-01-06,0,6,1,0,ENT,18
2025-01-06,0,6,1,0,Gynecology,22
2025-01-07,1,7,1,0,Cardiology,32
2025-01-07,1,7,1,0,Pediatrics,34
2025-01-07,1,7,1,0,Dermatology,21
2025-01-07,1,7,1,0,General Medicine,45
2025-01-07,1,7,1,0,Orthopedics,22
2025-01-07,1,7,1,0,Neurology,17
2025-01-07,1,7,1,0,ENT,19
2025-01-07,1,7,1,0,Gynecology,20
2025-01-08,2,8,1,0,Cardiology,27
2025-01-08,2,8,1,0,Pediatrics,34
2025-01-08,2,8,1,0,Dermatology,20
2025-01-08,2,8,1,0,General Medicine,44
2025-01-08,2,8,1,0,Orthopedics,20
2025-01-08,2,8,1,0,Neurology,14
2025-01-08,2,8,1,0,ENT,14
2025-01-08,2,8,1,0,Gynecology,14
2025-01-09,3,9,1,0,Cardiology,29
2025-01-09,3,9,1,0,Pediatrics,35
2025-01-09,3,9,1,0,Dermatology,18
2025-01-09,3,9,1,0,General Medicine,42
2025-01-09,3,9,1,0,Orthopedics,21
2025-01-09,3,9,1,0,Neurology,13
2025-01-09,3,9,1,0,ENT,16
2025-01-09,3,9,1,0,Gynecology,19
2025-01-10,4,10,1,0,Cardiology,26
2025-01-10,4,10,1,0,Pediatrics,34
2025-01-10,4,10,1,0,Dermatology,12
2025-01-10,4,10,1,0,General Medicine,40
2025-01-10,4,10,1,0,Orthopedics,19
2025-01-10,4,10,1,0,Neurology,13
2025-01-10,4,10,1,0,ENT,14
